params,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_leaf_size,param_n_neighbors,param_weights,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
"{'n_neighbors': 65, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00203111767769,0.00604996085167,0.0228274125601,0.0520170721542,kd_tree,46,65,uniform,3,0.0226378097837,0.0502473824546,0.00713286531494,0.0528031094317,0.0144436244897,0.0634264034393,-0.0320966212295,0.055942219764,0.0590198871678,0.0462837754138,0.0550195087729,0.0477681314809,0.0319929929884,0.0462424586111,0.0245235417406,0.0534230966386,0.000156452800264,0.00192620334711,0.0268635096508,0.0054265151703
"{'n_neighbors': 65, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.0020147562027,0.00561672449112,-0.587810706906,0.715501442186,kd_tree,46,65,distance,11,-0.479944092796,0.700767959479,-0.512973224672,0.713187655444,-0.268748773367,0.67622188217,-0.589207342812,0.736259489863,-0.699809076594,0.713718739864,-1.24241741458,0.74177023379,-0.456816485415,0.718515815989,-0.451231377254,0.723569760885,6.94187127318e-05,0.00126017431054,0.273054898759,0.0192471463994
"{'n_neighbors': 70, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00257790088654,0.00498402118683,0.0200554752276,0.0498606991085,kd_tree,46,70,uniform,7,0.0155776708369,0.0470295038098,-0.00154643649064,0.0529435880965,0.0133049287636,0.0598799478813,-0.0357333636193,0.05267360448,0.0602352661112,0.0440719019216,0.0513054761855,0.0457572345465,0.0251870371038,0.047228830248,0.0321996013702,0.0493009818841,0.00105344276558,0.000689469297464,0.0283209293382,0.00478808763082
"{'n_neighbors': 70, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'kd_tree'}",0.00211369991302,0.00484961271286,-0.58910947765,0.715501442186,kd_tree,46,70,distance,13,-0.48356305763,0.700767959479,-0.518988157892,0.713187655444,-0.269665693773,0.67622188217,-0.589437101881,0.736259489863,-0.699545373118,0.713718739864,-1.24274271234,0.74177023379,-0.459827047056,0.718515815989,-0.447753485403,0.723569760885,0.000270458083828,0.000408653908818,0.272669545891,0.0192471463994
"{'n_neighbors': 65, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00226008892059,0.00498273968697,0.0228274125601,0.0520170721542,kd_tree,51,65,uniform,3,0.0226378097837,0.0502473824546,0.00713286531494,0.0528031094317,0.0144436244897,0.0634264034393,-0.0320966212295,0.055942219764,0.0590198871678,0.0462837754138,0.0550195087729,0.0477681314809,0.0319929929884,0.0462424586111,0.0245235417406,0.0534230966386,0.000492450357541,0.000716072326048,0.0268635096508,0.0054265151703
"{'n_neighbors': 65, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00212907791138,0.0049395263195,-0.587810706906,0.715501442186,kd_tree,51,65,distance,11,-0.479944092796,0.700767959479,-0.512973224672,0.713187655444,-0.268748773367,0.67622188217,-0.589207342812,0.736259489863,-0.699809076594,0.713718739864,-1.24241741458,0.74177023379,-0.456816485415,0.718515815989,-0.451231377254,0.723569760885,0.000300023708075,0.00111573157095,0.273054898759,0.0192471463994
"{'n_neighbors': 70, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00208482146263,0.00525113940239,0.0200554752276,0.0498606991085,kd_tree,51,70,uniform,7,0.0155776708369,0.0470295038098,-0.00154643649064,0.0529435880965,0.0133049287636,0.0598799478813,-0.0357333636193,0.05267360448,0.0602352661112,0.0440719019216,0.0513054761855,0.0457572345465,0.0251870371038,0.047228830248,0.0321996013702,0.0493009818841,0.000195694346522,0.00123826487489,0.0283209293382,0.00478808763082
"{'n_neighbors': 70, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'kd_tree'}",0.00220051407814,0.00532159209251,-0.58910947765,0.715501442186,kd_tree,51,70,distance,13,-0.48356305763,0.700767959479,-0.518988157892,0.713187655444,-0.269665693773,0.67622188217,-0.589437101881,0.736259489863,-0.699545373118,0.713718739864,-1.24274271234,0.74177023379,-0.459827047056,0.718515815989,-0.447753485403,0.723569760885,0.000236127934124,0.000759910843165,0.272669545891,0.0192471463994
"{'n_neighbors': 65, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'brute'}",0.00142961740494,0.0065806210041,0.023012483956,0.0521613887851,brute,46,65,uniform,1,0.0215715041036,0.050863718441,0.00725851895311,0.0532958358721,0.0142591064168,0.0632750308132,-0.031445784339,0.0554384505228,0.061080088927,0.0462641247879,0.0549455785563,0.0486625845855,0.032466367417,0.0467260280126,0.0240167825232,0.0527653372455,4.2191795232e-05,0.00102347499459,0.027061756945,0.00517385670012
"{'n_neighbors': 65, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'brute'}",0.00141763687134,0.00595912337303,-0.587576958551,0.715501440655,brute,46,65,distance,9,-0.480120574627,0.700767958179,-0.512904698793,0.713187654049,-0.268780716064,0.676221880341,-0.589306928243,0.736259487725,-0.697901753337,0.713718738423,-1.24258944487,0.741770232345,-0.456739612648,0.718515814496,-0.450934541011,0.723569759686,3.51778513926e-05,0.000186247832028,0.273021472646,0.019247146401
"{'n_neighbors': 70, 'weights': 'uniform', 'leaf_size': 46, 'algorithm': 'brute'}",0.00148922204971,0.00653380155563,0.020128031848,0.0497286199911,brute,46,70,uniform,5,0.0147179174839,0.0471001538164,-0.000120264466927,0.0530068574056,0.0134747726156,0.0596988557965,-0.0358608814653,0.052400995534,0.0598273403677,0.0437246740746,0.0516933928594,0.0455585104338,0.0241298262815,0.0468968388335,0.0332477587148,0.0494420740344,0.000206014994047,0.00132061936127,0.0282530473066,0.00481846891441
"{'n_neighbors': 70, 'weights': 'distance', 'leaf_size': 46, 'algorithm': 'brute'}",0.00185197591782,0.00779676437378,-0.58911394302,0.715501440485,brute,46,70,distance,15,-0.484000361746,0.700767958039,-0.518716280039,0.713187653879,-0.269728233937,0.676221880161,-0.589676054217,0.736259487479,-0.699833437369,0.713718738257,-1.24230426737,0.741770232189,-0.459967412639,0.718515814325,-0.447330848722,0.723569759552,0.00045842683258,0.00240663008099,0.272550190595,0.0192471463947
"{'n_neighbors': 65, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'brute'}",0.00209438800812,0.00660836696625,0.023012483956,0.0521613887851,brute,51,65,uniform,1,0.0215715041036,0.050863718441,0.00725851895311,0.0532958358721,0.0142591064168,0.0632750308132,-0.031445784339,0.0554384505228,0.061080088927,0.0462641247879,0.0549455785563,0.0486625845855,0.032466367417,0.0467260280126,0.0240167825232,0.0527653372455,0.0010850758986,0.00132117671641,0.027061756945,0.00517385670012
"{'n_neighbors': 65, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'brute'}",0.00167763233185,0.00789871811867,-0.587576958551,0.715501440655,brute,51,65,distance,9,-0.480120574627,0.700767958179,-0.512904698793,0.713187654049,-0.268780716064,0.676221880341,-0.589306928243,0.736259487725,-0.697901753337,0.713718738423,-1.24258944487,0.741770232345,-0.456739612648,0.718515814496,-0.450934541011,0.723569759686,0.000356150256819,0.00198731089304,0.273021472646,0.019247146401
"{'n_neighbors': 70, 'weights': 'uniform', 'leaf_size': 51, 'algorithm': 'brute'}",0.00169265270233,0.00788474082947,0.020128031848,0.0497286199911,brute,51,70,uniform,5,0.0147179174839,0.0471001538164,-0.000120264466927,0.0530068574056,0.0134747726156,0.0596988557965,-0.0358608814653,0.052400995534,0.0598273403677,0.0437246740746,0.0516933928594,0.0455585104338,0.0241298262815,0.0468968388335,0.0332477587148,0.0494420740344,0.000350564889262,0.00288035920208,0.0282530473066,0.00481846891441
"{'n_neighbors': 70, 'weights': 'distance', 'leaf_size': 51, 'algorithm': 'brute'}",0.00157186388969,0.00605157017708,-0.58911394302,0.715501440485,brute,51,70,distance,15,-0.484000361746,0.700767958039,-0.518716280039,0.713187653879,-0.269728233937,0.676221880161,-0.589676054217,0.736259487479,-0.699833437369,0.713718738257,-1.24230426737,0.741770232189,-0.459967412639,0.718515814325,-0.447330848722,0.723569759552,0.000125547556278,0.000260455150539,0.272550190595,0.0192471463947
